Id,Modularity Class
p475,7
p474,7
p477,7
p476,7
p471,7
p470,7
p479,7
p259,7
p258,7
p255,7
p254,7
p257,7
p251,7
p250,13
p253,7
p252,7
m1099,5
m1090,4
m1096,5
p651,5
p650,7
p652,5
p654,7
p657,7
m78,7
m1276,2
m1075,5
m1072,5
m1073,5
m1070,1
m802,9
m800,4
m806,9
m804,9
m5,2
m7,2
m2,2
m8,13
m938,13
m935,13
m933,5
m932,7
m245,2
m244,2
m246,5
m241,13
m243,7
m242,2
m249,7
m248,5
m119,7
m118,7
m115,7
m117,2
m116,2
m111,2
m113,2
m112,7
m753,2
m752,2
m751,5
m750,13
m757,7
m756,7
m121,7
m650,13
p633,7
p632,7
p401,7
p402,7
p404,5
p405,7
p406,7
p407,7
p408,7
p409,7
p228,7
p229,7
p220,5
p221,7
p222,7
p223,7
p224,7
p225,7
p226,7
p227,7
p318,7
p319,7
p314,7
p315,2
p316,7
p317,7
p310,7
p311,13
p312,7
p313,7
p134,7
p135,7
p136,7
p137,7
p130,7
p131,7
p132,7
p133,7
p138,7
p139,7
m1288,5
m1286,2
m1043,4
m1042,1
m1049,2
m1048,5
m838,2
m839,13
m837,2
m834,5
m835,2
m832,5
m833,13
m831,2
m348,2
m349,13
m344,7
m345,2
m346,2
m347,2
m340,13
m341,2
m230,7
m232,2
m233,3
m236,5
m168,2
m169,7
m698,2
m161,4
m162,4
m163,2
m164,4
m165,2
m588,7
m589,13
m587,7
m582,13
m581,2
m766,0
m765,0
m761,2
m768,2
m564,5
m565,5
m566,5
m563,13
m568,5
m569,13
p412,7
p411,7
p620,7
p417,7
p416,7
p415,7
p418,2
p621,7
p239,7
p238,7
p233,7
p232,7
p231,7
p230,7
p237,7
p236,7
p235,7
p234,7
p309,7
p308,7
p307,7
p306,7
p305,7
p304,7
p303,7
p302,7
p301,7
p300,7
p127,7
p126,7
p125,7
p124,7
p123,7
p122,7
p121,7
p120,7
p129,7
p128,7
m1295,13
m1291,2
m1058,5
m1059,5
m1054,5
m1055,5
m1057,5
m1051,9
m1052,2
p61,2
p63,2
p62,2
p65,2
p64,2
p67,2
p66,2
p69,2
p68,2
m828,2
m821,9
m820,5
m823,4
m822,4
m825,5
m826,5
m917,1
m916,1
m911,1
m913,1
m912,1
m919,1
m918,1
m359,2
m358,2
m356,7
m352,7
m351,13
m223,5
m222,13
m221,13
m220,2
m226,7
m225,7
m229,7
m228,2
m179,7
m171,7
m170,2
m176,5
m599,5
m598,13
m593,13
m592,13
m594,5
m770,4
m776,13
m779,13
m577,7
m576,13
m574,2
m573,5
m572,5
m571,13
m570,13
m685,2
m680,2
m682,13
m689,5
p428,7
p429,7
p426,5
p427,5
p424,5
p425,5
p422,7
p423,7
p420,7
p680,7
p681,2
p338,2
p332,7
p333,7
p330,7
p331,7
p336,7
p337,7
p334,7
p335,7
p112,7
p113,7
p110,7
p111,7
p116,7
p114,7
p115,5
p118,7
p119,7
m1115,13
m1116,1
m1113,1
m1112,1
p206,7
p207,7
p204,7
p205,7
p202,7
p200,7
p201,7
p208,7
p209,7
m1028,2
m1020,6
m1025,9
m1024,5
m1027,2
m1026,9
p76,2
p77,2
p74,2
p75,2
p72,2
p73,2
p70,2
p71,2
p78,2
p79,2
m1337,9
m1331,5
m1338,11
m964,13
m966,9
m967,9
m969,4
m368,2
m362,2
m363,5
m360,3
m365,5
m218,2
m219,2
m217,2
m214,4
m215,2
m212,2
m213,13
m211,2
m787,13
m781,13
m542,2
m543,13
m546,13
m547,2
m544,2
m548,5
m549,13
m146,2
m147,2
m144,13
m145,2
m149,2
p439,2
p438,7
p431,5
p430,5
p433,5
p432,5
p435,7
p437,7
p436,7
p696,7
p691,2
p698,7
p325,7
p324,7
p327,7
p326,7
p321,7
p320,7
p323,7
p322,7
p329,7
p109,7
p108,7
p105,7
p104,7
p107,7
p106,7
p101,7
p100,7
p103,7
p102,7
m1109,1
m1104,9
m1100,13
p211,7
p213,7
p212,7
p215,7
p216,7
m1038,13
m1039,9
m1030,2
m1036,2
m1037,9
m1034,13
p89,2
p88,2
p83,2
p82,2
p81,2
p80,2
p87,2
p86,2
p85,2
p84,2
m329,13
m979,2
m978,9
m209,13
m208,2
m200,2
m203,2
m202,2
m205,13
m204,7
m207,2
m206,13
m375,5
m377,2
m376,13
m371,2
m370,2
m373,2
m379,2
m378,13
m797,6
m794,5
m792,13
m559,2
m550,13
m553,2
m151,13
m150,13
m153,2
m152,13
m155,7
m154,7
m157,5
m158,2
p350,7
p351,7
p352,7
p353,7
p354,7
p355,5
p356,7
p357,7
p358,7
p359,7
p597,2
p594,7
p595,7
p592,7
p593,5
p590,5
p591,7
p598,7
p599,2
p178,7
p179,7
p170,7
p171,7
p172,7
p173,7
p174,7
p175,7
p176,7
p177,5
m1139,5
m1138,1
m1132,1
m1131,1
m1136,5
m1135,1
m1134,1
m1004,5
m1003,5
m1009,7
p98,7
p99,7
p90,2
p91,7
p93,7
p94,7
p95,7
p96,7
p97,7
m1319,5
m948,7
m942,5
m940,9
p757,11
m891,5
m896,5
m418,2
m419,2
m414,2
m415,2
m416,5
m417,2
m412,7
m413,7
m300,5
m302,7
m303,2
m306,2
m307,2
m308,5
m309,2
m520,13
m523,13
m524,13
m525,2
m527,2
m696,2
m635,5
m636,13
m637,5
m630,4
m632,5
m633,5
m638,5
p342,7
p341,2
p340,7
p347,7
p346,7
p345,7
p344,7
p348,7
p583,7
p582,7
p585,7
p589,13
p588,7
p169,7
p168,7
p162,7
p161,7
p160,7
p167,7
p166,7
p165,7
p164,7
m1124,1
m1125,1
m1120,13
m1011,13
m1014,2
m1017,5
m1019,2
m399,2
m398,13
m392,13
m1305,5
m1303,5
m958,5
m952,2
m956,13
m98,2
m91,5
m90,2
m93,13
m92,2
m94,2
m97,2
m96,1
m889,8
m882,5
m880,2
m886,8
m409,13
m408,2
m407,2
m406,7
m404,13
m403,13
m401,2
m312,2
m311,2
m317,13
m316,2
m315,13
m314,2
m319,2
m318,2
m137,2
m135,13
m642,13
m645,5
m531,2
m530,5
m644,5
m72,2
m71,7
m70,2
m77,13
m647,13
m74,2
m79,2
m646,13
m626,5
m624,13
m620,13
m629,4
p488,7
p481,5
p483,7
p484,7
p485,7
p486,7
p378,7
p379,7
p376,7
p377,7
p375,7
p372,7
p373,7
p371,7
p579,7
p571,2
p573,13
p394,13
p395,13
p396,7
p397,5
p390,7
p391,7
p392,5
p393,5
p399,7
m1150,9
m1153,2
p710,5
p624,2
p625,7
p626,13
p155,7
p152,5
p153,7
p150,7
p151,7
p629,5
p158,7
p159,7
m1200,2
m1203,5
m88,13
m89,5
m86,5
m87,2
m84,2
m85,2
m82,2
m83,13
m80,2
m81,7
m438,13
m432,7
m433,2
m430,2
m431,2
m436,5
m437,2
p141,7
p636,5
p635,5
m986,13
m987,9
m328,2
m985,9
m326,2
m327,13
m324,2
m325,2
m322,7
m320,2
m321,3
m506,5
m502,7
m503,2
m500,2
m501,4
p146,7
m508,5
m509,13
m60,2
m63,2
m64,2
m65,2
m67,2
m69,2
m183,2
m180,7
m181,13
m186,2
m187,7
m184,2
m185,7
m613,5
m610,13
m616,4
m615,2
m618,2
p499,5
p498,2
p493,5
p491,7
p497,7
p496,7
p495,7
p494,5
p369,7
p368,7
p361,5
p360,7
p363,7
p365,7
p364,7
p367,10
p366,7
p569,7
p567,7
p566,7
p565,5
p564,2
p563,7
p562,13
p561,13
p560,7
p387,7
p386,2
p385,7
p384,7
p383,2
p382,7
p381,7
p389,5
p388,7
m1143,0
p706,5
p705,7
p637,5
p140,7
p143,7
p142,7
p145,7
p144,7
p147,7
p630,7
p149,7
p148,7
p639,5
p638,5
m1210,2
m1219,9
m999,9
m331,7
m330,2
m997,5
m996,9
m335,7
m337,2
m511,2
m513,13
m512,2
m515,5
m195,5
m56,2
m51,2
m192,13
m199,2
m198,2
m425,2
m427,2
m426,13
m421,13
m420,2
m423,2
m429,2
m605,7
m604,2
m607,2
m606,7
m600,5
m603,13
p558,4
p552,10
p553,10
p550,10
p551,10
p556,4
p557,4
p554,10
p555,10
m1178,5
m1175,9
m1174,7
m1172,2
p602,7
p603,7
p606,7
p604,5
m1357,2
m1354,9
m1350,5
m1191,2
m1190,9
m1193,5
m1199,2
m1220,2
m1227,2
m1226,9
m1224,9
m854,5
m850,1
m853,9
m294,2
m295,2
m293,13
m290,13
m298,13
m652,5
m49,7
m43,2
m41,7
m46,2
m47,7
m44,2
m45,2
m453,2
m454,2
m456,2
m457,2
m678,5
m679,13
m675,5
m676,2
m705,9
m707,2
m700,5
m701,7
m702,2
m709,13
p545,4
p544,7
p547,4
p546,4
p541,7
p540,7
p543,7
p542,7
p549,10
p548,7
m1168,9
m1169,5
m1161,5
p618,7
p615,2
p614,7
p617,2
p610,7
p613,7
p612,7
m1340,11
m1342,11
m1343,9
m1344,5
m1348,5
m1349,9
m1182,9
m1183,2
m1188,13
m995,5
m333,2
m991,9
m990,2
m1239,2
m1236,12
m1237,12
m1233,12
m846,2
m844,9
m842,5
m841,9
m840,13
m160,4
m281,2
m280,2
m287,7
m286,13
m289,5
m288,7
m167,13
m37,2
m36,2
m35,2
m33,2
m30,2
m443,13
m442,2
m441,2
m440,7
m447,9
m446,2
m449,13
m54,2
m197,7
m668,9
m662,13
m661,5
m660,13
m59,7
m58,2
m717,5
m716,7
m715,2
m713,5
m712,2
m711,2
p530,7
p535,5
p537,2
p538,13
p539,7
p288,7
p289,7
p286,7
p287,7
p285,5
p282,7
p283,7
p280,7
p281,7
p448,2
p449,4
p444,7
p445,13
p446,7
p447,7
p440,7
p441,7
p442,2
p264,7
p265,5
p266,7
p267,7
p260,7
p261,7
p262,7
p263,7
p268,7
p269,7
p669,2
p198,5
p199,7
p192,7
p661,7
p190,7
p191,7
p196,7
p665,5
p666,5
p195,7
p210,7
m1241,2
p217,7
p193,2
p662,7
m879,5
m873,7
m870,5
m871,5
m877,2
p197,7
p194,7
p667,7
m278,7
m992,2
m274,2
m275,2
m276,2
m277,2
m270,5
m271,2
m273,2
m196,13
m388,7
m389,2
m380,7
m381,13
m383,7
m385,2
m28,2
m29,3
m24,2
m25,2
m26,13
m27,7
m20,2
m21,2
m23,2
m478,2
m479,13
m476,2
m477,2
m474,9
m472,2
m473,2
m125,2
m126,5
m127,7
m120,13
m122,7
m128,2
m129,7
m659,1
m494,13
m495,2
m496,2
m497,13
m490,7
m491,2
m493,7
m498,2
m499,13
m722,7
m723,5
m721,5
m724,13
m728,9
m729,2
p522,7
p521,7
p520,7
p527,7
p526,7
p525,7
p529,7
p528,7
p299,7
p298,7
p291,7
p290,7
p293,7
p292,7
p295,2
p294,7
p297,7
p296,7
p459,7
p457,7
p456,7
p455,7
p454,7
p453,7
p452,5
p450,5
p277,7
p276,7
p275,7
p274,7
p273,7
p272,7
p271,7
p270,7
p279,7
p278,7
p410,7
p185,7
p184,7
p187,7
p186,7
p181,7
p180,7
p183,7
p182,7
p189,7
p188,7
p673,2
p672,5
p677,7
p675,7
p674,7
m864,5
m866,2
m860,1
m863,2
m869,5
m268,2
m266,7
m262,3
m261,2
m11,2
m10,13
m13,2
m12,2
m14,2
m17,2
m16,2
m393,5
m18,2
m397,13
m396,13
m395,7
m468,2
m461,2
m465,7
m467,7
m466,2
m641,13
m640,2
m643,5
m133,13
m132,5
m131,7
m130,2
m139,2
m138,2
m487,7
m486,7
m485,7
m482,7
m481,5
m738,13
m734,9
p518,7
p519,7
p516,7
p514,13
p515,13
p512,7
p513,5
p510,7
p511,13
m534,2
p469,7
p463,7
p460,7
p461,7
p465,5
p242,7
p243,7
p240,7
p241,7
p247,7
p244,13
p245,7
p249,7
m1088,5
m1086,5
m1084,2
m1083,5
p645,7
p642,5
p643,7
p640,5
p641,5
p648,7
p649,7
m875,2
m1265,9
m1269,2
m1065,1
m1064,5
m1067,1
m1066,5
m1061,0
m1060,5
m1063,1
m1062,5
m1069,5
m812,13
m816,2
m259,3
m252,13
m250,2
m257,2
m254,5
m255,5
m928,1
m926,1
m927,1
m921,1
m922,1
m923,9
m102,2
m103,7
m101,2
m106,2
m107,2
m104,2
m109,2
m741,13
m742,13
m744,2
m745,13
m747,2
p508,2
p501,7
p500,7
p503,7
p505,7
p504,7
p507,13
p506,7
