Id,Modularity Class
3796008961,2
717094916,26
2838102022,26
2734585279,1
1904148488,0
1010434057,1
2724222075,1
600440843,1
1573666818,1
2167925421,10
549814289,1
1694007314,10
641597459,8
2822766612,2
2407115438,1
902365207,10
1087602712,25
150372377,16
4245585946,1
1207238683,2
1214939164,1
340694362,10
134348830,1
4137779232,1
1726677027,1
707133476,8
783252448,1
1467875367,1
2795656540,4
462913578,1
1491173419,1
3831398444,8
809009197,1
582939870,8
1288208432,10
1428160564,10
3842506806,8
1399554057,26
1023044984,0
3371442442,8
1394120031,8
812564490,26
2270920766,8
3055149572,1
4044652608,1
626786369,1
2307051603,10
1219657795,1
2777382980,26
3433103429,7
669062497,26
659325000,26
1638629449,25
1392279628,8
736067661,26
2336030801,10
1001488467,10
1906376788,26
229408854,18
1363863786,26
1260830735,10
363724892,10
115769437,26
321468745,1
2675001396,4
1539107515,4
4101111908,10
84901989,27
3494248550,8
2559144114,25
237305960,1
1545966543,8
1160577131,1
786301036,26
3843518089,26
1044676718,1
478806127,26
3188359281,1
4057564674,10
807632915,8
821395572,0
304545909,8
2902196342,4
3296395383,1
2838462585,8
2180317307,25
3252125821,10
823623807,18
2142994561,1
1861522795,1
2679439494,10
2685632647,1
3214672008,1
1711042883,8
2592276503,4
3936714892,10
4145741966,2
1270743183,4
3807150224,8
3810754584,8
3960242322,18
3064922259,1
107902002,1
2246475926,10
1843691671,10
1623457944,25
3644817563,25
3783065626,26
3820290206,8
1151078221,10
1961000987,3
668008615,10
1793261596,8
3794436267,1
3359408300,8
1966407853,1
3618210124,26
1607396040,26
452591794,10
3740139699,4
3113140,10
150438070,10
2782948041,15
3947233466,25
3484348065,8
3083993279,1
3554246849,10
103022787,10
362072691,26
1488683206,26
3203236039,1
3960123488,26
2908913866,10
3574985001,8
3825598669,8
2473874975,1
2788589776,8
2384822481,4
206274772,26
2121203925,18
4095344854,10
2940048761,26
3396370649,1
4136501466,4
2822340827,1
519078109,8
1355904263,10
1061945569,26
4217110754,27
2476802275,2
2145386727,1
462487785,26
1920467179,8
1368654060,1
3551822063,1
1087275250,10
1772710611,10
1543061545,26
3226829048,4
347308285,10
1093402878,8
96305408,8
4096655617,1
3972989187,10
1431437572,10
4144759046,10
2322071015,1
20512812,4
1632796938,1
858292492,2
3513647373,10
970719503,26
3240362256,26
2312882609,2
3364570512,1
868221203,26
1901658391,8
765133080,1
1845887257,8
1063321883,1
2467496222,1
805241120,26
654311713,25
1970700578,4
754854619,1
3542188325,26
853213478,8
3956834599,1
973504808,2
2899902761,18
3094577450,2
2182316331,25
3313533230,1
4230545712,4
1127809329,25
4132798770,8
658915379,1
3581542710,8
3778249017,18
3112151775,27
4103831868,1
1962628490,1
4086120501,4
2912616768,1
1001226563,1
2479990634,1
3642360135,8
2953150794,18
1190297932,2
3956343117,27
2413297998,26
98009426,10
2404876629,26
840561883,1
2946138456,1
872481113,25
3596747098,1
1043764623,1
918159708,2
190693434,1
966132063,4
53707104,1
3412323046,10
3482157414,8
1871602371,1
1950103650,1
2609611117,2
4205183344,4
550502769,1
1376682354,8
4016111988,1
4185981301,25
3868492150,27
95322487,1
2908586360,8
179601785,23
3382444411,8
892797309,25
2004681087,18
1875637332,1
1925710210,1
636486021,10
3973251462,1
349733257,8
3478520202,4
3838083467,26
3323073730,10
1989706128,4
997360017,4
635830674,1
1442316355,10
767000980,10
3887169941,1
3881632151,1
3612524612,26
595362202,8
1898152347,1
159678876,10
2009137565,10
1731887518,10
1805183869,1
2711323041,27
298341787,26
755270052,8
3639492678,1
6023921,1
2668298666,4
429654443,10
231211436,1
487883181,8
127730094,26
732266927,8
1155203507,1
843940276,26
2279375286,8
2500854200,2
1652457913,8
1600815547,10
2121302460,8
603849149,1
3870163395,8
3725853124,2
3757867461,4
1121059275,8
240779724,1
958071245,1
3984424046,10
91390418,5
3343679956,1
1073349078,27
1694400983,1
1194131928,4
279970267,26
2873721308,26
3055354334,8
107053535,1
1031406048,1
2558853602,1
314180067,26
1043825124,26
464191973,4
2448818662,10
2581070312,26
2139455985,4
3317629430,4
3770843639,10
309133816,2
522453500,4
2577547349,1
1188397569,1
3556344322,1
576339286,26
3294716754,1
33849862,26
542927617,10
3978679724,8
3588423767,8
835453453,8
25264654,10
1188746669,1
3941761552,10
3233088017,10
4281106962,26
1122632211,4
4031686356,26
917504533,2
4197679638,26
4215554137,25
235427698,4
1844576800,25
909055367,10
2346625370,1
2117665318,26
3521085992,26
3882123818,10
368814855,4
15434288,4
1361805875,10
1227096629,1
3020489270,10
1327825463,26
2894561848,4
3126875572,1
1068597823,1
1189509347,1
800533259,8
3788583673,1
495059527,26
1322873026,26
465087244,10
1999794483,4
1223262796,1
339640912,10
3906437713,18
3780706898,8
601260627,10
1608929142,8
3151200138,8
2230977113,1
1811743322,4
2615476827,4
1402176093,4
1607402079,0
4274782816,25
2101084769,10
1664193979,8
2674459237,10
1104839271,26
2971239017,2
3906994794,10
3593110123,8
2316075628,4
396222630,8
2599322225,1
2519270005,4
3875865206,1
959382135,10
2593620601,25
2338685562,8
253624955,4
603947645,4
3705307775,4
3535938060,1
2419327617,1
4230840963,2
3415444464,10
951747207,1
1187414664,1
1797521516,10
2187231882,10
1622704783,1
854753936,4
4041304856,1
1134826947,4
1104347796,1
2655814294,4
1248101017,8
3230401179,1
3878355612,10
3119940253,1
3256648350,2
4092297888,26
145130146,10
1331987107,0
2866217638,10
3960832113,10
401834664,8
2823550046,2
1356989101,1
2936013486,1
2077033135,26
4218684082,1
134268797,10
1524302518,1
4012999354,1
3803523871,10
1597014717,1
1097761470,8
932905666,1
2533884612,10
3340174021,10
3579314887,26
2350486988,4
4102750327,8
2787640012,1
2374730447,1
2358903506,4
2253718227,8
3419079380,10
3010953941,10
3387556566,4
1718125272,1
4114449113,10
1067975389,1
1031176926,27
3446309599,2
264438496,27
2409693922,8
1932460155,8
792756964,4
114780966,1
3260760188,1
1803276871,1
2620261100,2
1301873389,10
1051656944,1
1357578998,1
3937305337,1
4156490490,8
4225401595,1
4074046204,8
424772349,8
2628518654,27
3375137543,10
2368570120,2
238037689,4
2265154319,2
846824209,1
3137274645,26
374953723,2
543458075,26
2049835807,10
3196846880,2
3437069089,1
2969273122,18
740819747,1
4287365924,25
1279394597,26
457802534,8
3745547047,8
3252159272,8
2132280108,25
2096956205,1
1071088431,4
2355210615,10
2316927793,10
1405715250,4
672629555,1
1114309429,1
3508485615,1
3129115449,10
4239393594,4
3776702873,10
3887360419,26
3275719486,8
3264709439,10
334168896,0
3302102496,8
1029636931,26
3358458693,1
3781854023,10
690964978,2
672367435,8
3340895052,4
2005238608,2
869397846,10
2301920084,26
2009856012,8
3226774329,1
2008220505,2
996365797,26
3311043430,4
2234155879,10
513672043,26
2513011564,1
3660481389,4
3818629949,10
4101571442,26
2792161427,1
1264151358,4
2903507830,1
2815055337,8
2437415800,10
3664315257,10
1574372218,10
1218970491,10
1186333564,1
1448543102,16
3046540160,25
1382055298,1
1688896387,4
1255146374,1
533660553,1
1386643607,26
3483698060,8
268370829,1
2871460751,1
415826832,26
1951499153,1
1100907410,10
4261643155,10
2873431065,1
3382444949,8
3613000598,4
622920599,10
696611294,1
3171287963,1
2545484700,1
2660565918,8
3343582111,26
797574048,10
4148215963,27
1858536358,10
3123970984,11
2226733212,1
3850372010,1
452002731,4
2775417772,4
2762474413,11
4233787664,10
2671739037,8
3761275825,26
4147140083,4
3933078455,10
714195103,1
3491529663,1
4131128256,0
1762362306,8
660997059,4
28672964,26
3086582727,27
3483468744,1
3607823306,11
3251373003,10
960136142,4
454634317,1
240223184,18
3398952044,8
2365195218,10
2900493267,10
3086679977,10
1451920993,1
2797929432,25
4222992548,8
870450138,4
3771007963,26
612976746,8
192599546,26
658277342,1
1549272031,1
3169911778,26
918914019,1
3879502821,1
2146862054,1
4221207527,26
1022553364,15
388563947,10
3339125741,1
272925682,8
3474615123,25
2667021302,1
